,Post ID,Comments,,
249,Cx-3lcWPJOS,@netflix please follow back I know that this can't happen but please follow back,,
250,Cx-mqHfusCv,no way you put betty and archie…,,
251,Cx-mqHfusCv,You did NOT just use Betty and Archie for this,,
252,Cx-mqHfusCv,the 3rd slide😭,,
253,Cx-mqHfusCv,you literally took titanic off of netflix us,,
254,Cx-mqHfusCv,Not lawrence and kreese 💀💀💀,,
255,Cx-mqHfusCv,DOLORES AND FIVE IM CRYING,,
256,Cx-mqHfusCv,ok but six of crows spin off when?,,
257,Cx-mqHfusCv,Barchie 🤢🤢,,
258,Cx-mqHfusCv,Tf is BARCHIE doing here??🙄,,
259,Cx-mqHfusCv,now y’all post umbrella academy 🙄,,
260,Cx-mqHfusCv,🚫🏳️‍🌈,,
261,Cx-mqHfusCv,و إتقو يوما ترجعون فيه إلى الله,,
262,Cx-mqHfusCv,Netflix ya'll r being greedy not allowing us to share passwords 😒,,
263,Cx-mqHfusCv,me and delores 👩🏻‍🦲,,
264,Cx-mqHfusCv,whos the 2nd couple,,
265,Cx-mqHfusCv,Me and a shotgun 🫦❤️,,
266,Cx-mqHfusCv,ok the cobra kai one...😂,,
267,Cx-mqHfusCv,"Ah, the Viscount and Viscountess - I can't wait to see them again, maybe you could drop a picture of them being happy in season 3? 😉",,
268,Cx-mqHfusCv,KATHONY 😍,,
269,Cx-mqHfusCv,Dolores,,
270,Cx-mqHfusCv,Kanthony!!! My babies 🥹🥹🥹 The need for season 3 is getting ridiculous! Give us the Kanthony content we all crave,,
271,Cx-mqHfusCv,I’m 5,,
272,Cx-mqHfusCv,"Me, and my books (:",,
273,Cx-mqHfusCv,Anne and gilbert 💗💗💗,,
274,Cx-mqHfusCv,,,
275,Cx-mqHfusCv,,,
276,Cx-mqHfusCv,,,
277,Cx-mqHfusCv,Kate and Anthony 💜✨,,
278,Cx-mqHfusCv,BETTY AND ARCHIE YEP SO TRUE,,
279,Cx-mqHfusCv,we can’t both fit on the door tho,,
280,Cx-mqHfusCv,"Slide 8 and 9, from what movie?",,
281,Cx-mqHfusCv,The heaviest love is that of five with Dolores❤️❤️,,
282,Cx-mqHfusCv,I’m manifesting,,
283,Cx-mqHfusCv,Me and Heartstopper 🍂,,
284,Cx-mqHfusCv,Kanthony all the way 💜💙💜💙,,
285,Cx-mqHfusCv,me and who,,
286,Cx-mqHfusCv,no one-,,
287,Cx-mqHfusCv,Me and who?,,
288,Cx-mqHfusCv,شوضع الصوره التانيه؟؟؟؟؟,,
289,Cx-mqHfusCv,No gay,,
290,Cx-mqHfusCv,لا للمثليه والمثلييين 🤢,,
291,Cx-mqHfusCv,2nd slide??,,
292,Cx-mqHfusCv,Please delete Barchie post😭😭😭 and add Bughead ❤️,,
293,Cx-mqHfusCv,Stop raising your prices.,,
294,Cx-mqHfusCv,Me and you 😉 @one.awkward.human,,
295,Cx-mqHfusCv,"@netflix @NetflixUK Please give us a season 3 of Fate the Winx Saga or sell the rights 
#SaveFateTheWinxSaga 
Fate: The Winx Saga Needs An End",,
296,Cx-mqHfusCv,@mindcntrl_404 we :),,
297,Cx-mqHfusCv,@thal_sinestro ❤️,,
298,Cx-mqHfusCv,@sebas_mdz5,,
299,Cx-mqHfusCv,@afreen.cheema,,
300,Cx6Esx-p2wN,❤️❤️,,
301,Cx6Esx-p2wN,😍,,
302,Cx6Esx-p2wN,Is there going to be a Hollywood season 2? I’ve been waiting!!,,
303,Cx6Esx-p2wN,⚪🤍,,
304,Cx6Esx-p2wN,#renewsweetmagnolias,,
305,Cx6Esx-p2wN,❤️❤️❤️😍😍,,
306,Cx6Esx-p2wN,Imagine having a Netflix account and not being able to use it unless you’re home😂😂😂😂 waste of money,,
307,Cx6Esx-p2wN,❤️❤️❤️,,
308,Cx6Esx-p2wN,Why did y’all cancel the order,,
309,Cx6Esx-p2wN,,,
310,Cx6Esx-p2wN,All the money y’all charge and the content sucks and let’s make it complicated to watch while away from home.,,
311,Cx6Esx-p2wN,"Oo Daphne Bridgetown, you've started to work in corporate",,
312,Cx6Esx-p2wN,Stop canceling my fav shows thanks,,
313,Cx6Esx-p2wN,#socspinoff #shadowandboneseason3 #shadowandbone,,
314,Cx6Esx-p2wN,It’s an H&M add.,,
315,Cx6Esx-p2wN,this movie was really good 👏🔥 but what the hell was with the ending lol 😆,,
316,Cx6Esx-p2wN,Oooh can’t wait!!!🔥,,
317,Cx6Esx-p2wN,SOUND OF FREDOM ??? SUCKS,,
318,Cx6Esx-p2wN,❤️🔥,,
319,Cx6Esx-p2wN,Lovely 😍  God bless you 👏,,
320,Cx6Esx-p2wN,Time,,
321,Cx6Esx-p2wN,😍😍😍,,
322,Cx6Esx-p2wN,Phoebe 🌶️,,
323,Cx6Esx-p2wN,Vote for lookism season 2 ❤️,,
324,Cx6Esx-p2wN,Watch my storis pls it’s very important for me and very urgent,,
325,Cx6Esx-p2wN,❤️❤️,,
326,Cx6Esx-p2wN,HI. PLEASE HIRE ME. I’M FROM KAZAKHSTANM,,
327,Cx6Esx-p2wN,🔥🔥,,
328,Cx6Esx-p2wN,Castiel kkkk,,
329,Cx6Esx-p2wN,❤️,,
330,Cx6Esx-p2wN,"This one awakened all my trauma at once!! Let me stick to sci-fi, there am safe",,
331,Cx6Esx-p2wN,Sorry i even put this in my list to watch. Nasty nasty disgusting thing I had to see in the beginning of the show omg.,,
332,Cx6Esx-p2wN,One of the worst movie and story!!,,
333,Cx6Esx-p2wN,bizim film ne zaman canim? @netflixturkiye #LastCallForIstanbul,,
334,Cx6Esx-p2wN,#lucasforace @thelucasamorim,,
335,Cx6Esx-p2wN,"@netflix Bring Julie and the Phantoms back, please",,
336,Cx6Esx-p2wN,"@netflix Bring Julie and the Phantoms, it will be a success",,
337,Cx6Esx-p2wN,https://amzn.to/3pQ3lYE,,
338,Cx6Esx-p2wN,Renew sweet magnolias!!!!!!!!!!,,
339,Cx6Esx-p2wN,#sweetmagnoliasseason3,,
340,Cx6Esx-p2wN,,,
341,Cx6Esx-p2wN,bello,,
342,Cx6Esx-p2wN,❤️❤️❤️❤️😍😍😍😍👏👏👏,,
343,Cx6Esx-p2wN,❤️❤️,,
344,Cx6Esx-p2wN,❤️,,
345,Cx6Esx-p2wN,Cuando saldra la 4 temporada de anne with an e,,
346,Cx6Esx-p2wN,❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,,
347,Cx6Esx-p2wN,Fuck Netflix and their price gouging.,,
348,Cx6Esx-p2wN,❤️🔥,,
349,Cx6Esx-p2wN,"Not worth the money spent. Same old movies from when you charged $8.99. Wack af. Better off with hbo max, Disney + and starz or Hulu. This shit trash. Nasty work @netflix",,
350,Cx4isslua13,One of the best movies I’ve seen in a while!!!,,
351,Cx4isslua13,I was cracking up on this scene!!! 😂🤣😂🤣,,
352,Cx4isslua13,Reptile was surprisingly good 👏🐍,,
353,Cx4isslua13,I liked this film 🤷🏽‍♀️,,
354,Cx4isslua13,That kitchen was amazing.,,
355,Cx4isslua13,I think I need to watch Reptile again …….. soooo good♥️,,
356,Cx4isslua13,I didn’t like the movie 😢,,
